latitude(deg),longitude(deg),time(ms),elevation(m),velocity(m/s),bearing(deg)
59.020434,23.118088,2184000,124.867,9.843602411,357.2663937
59.020523,23.118084,2185000,125.171,9.901785289,358.6747571
59.020785,23.118058,2188000,126.901,9.726423773,357.0758852
59.021208,23.117968,2193000,129.918,9.466001791,353.7501565
59.021376,23.11791,2195000,131.707,9.489373631,349.9237034
59.021786,23.117749,2200000,135.861,9.304986564,348.5733966
59.022444,23.117444,2208000,139.778,9.405120711,346.5813468
59.022845,23.117233,2213000,139.368,9.241698339,344.8463714
59.023006,23.117125,2215000,136.05,9.47235761,340.952235
59.023161,23.117003,2217000,139.344,9.300520252,337.9465449
59.024327,23.116218,2232000,139.884,9.150324478,340.888828
59.024659,23.116071,2236000,134.834,9.468448981,347.1626233
59.025064,23.115847,2241000,131.54,9.367223453,344.1108372
59.025227,23.115748,2243000,130.56,9.497487693,342.6415276
59.025555,23.115558,2247000,132.545,9.517237374,343.399439
59.025974,23.115401,2252000,133.761,9.492487148,349.0850667
59.026942,23.115351,2263000,133.608,9.791368135,358.4773002
59.027128,23.115442,2265000,132.363,10.66688259,14.13231782
59.027317,23.115639,2267000,131.611,11.9276044,28.20965043
59.027578,23.116007,2270000,132.982,11.9557087,35.96466508
59.029073,23.118245,2287000,132.388,12.34730062,37.60870328
59.030064,23.120579,2300000,133.205,13.32256039,50.47295228
59.030137,23.120774,2301000,133.33,13.80193628,53.96428686
59.030505,23.121718,2306000,129.844,13.55672802,52.85334364
59.030661,23.122074,2308000,129.109,13.38126428,49.58306626
59.030901,23.12261,2311000,126.065,13.55526736,48.97150976
59.031064,23.122953,2313000,125.314,13.36115254,47.27682948
59.031376,23.123681,2317000,128.324,13.5562313,50.20973923
59.031454,23.123856,2318000,128.395,13.2508217,49.10110267
59.031998,23.125111,2325000,131.591,13.4166183,49.88880828
59.032912,23.126924,2336000,128.665,13.20571307,45.58502721
59.03326,23.127516,2340000,131.056,12.86007505,41.19587697
59.03344,23.127774,2342000,132.417,12.43831438,36.40888602
59.034692,23.129611,2356000,133.65,12.46306837,37.04993474
59.034924,23.130173,2359000,135.458,13.74477056,51.25872454
59.035915,23.131576,2370000,135.048,12.39699923,36.06938782
59.037226,23.133869,2385000,136.134,13.07764757,41.98206503
59.037429,23.134885,2389000,136.605,15.59241761,68.77539759
59.037954,23.140395,2408000,140.11,16.87687306,79.50526383
59.038557,23.143943,2421000,143.856,16.4473409,71.71738818
59.038674,23.144459,2423000,147.201,16.13344439,66.21468135
59.038857,23.145211,2426000,148.933,15.86720803,64.68439754
59.039901,23.149142,2442000,147.762,15.82109575,62.69352731
59.040959,23.1527,2457000,150.377,15.67646896,59.96924851
59.041031,23.15293,2458000,150.635,15.40516581,58.6780814
59.041562,23.15451,2465000,153.757,15.42652273,56.84232512
59.042489,23.157181,2477000,156.906,15.3627437,55.99214719
59.042937,23.158544,2483000,157.266,15.42401244,57.42196049
59.04343,23.15927,2488000,158.433,13.75815797,37.14369205
